metric,category,before_filter,after_filter,percentage,count,value
jobs_per_source,Arbeitnow,1000.0,38.0,3.8,,
jobs_per_source,RemoteOK,99.0,3.0,3.0,,
jobs_per_source,Himalayas,17.0,0.0,0.0,,
jobs_per_source,RemoteJobs.org,30.0,4.0,13.3,,
remote_ratio,On-site,,,75.6,34.0,
remote_ratio,Remote,,,24.4,11.0,
experience_distribution,Not mentioned,,,100.0,45.0,
entry_level_jobs,0-1 years,,,0.0,0.0,
avg_salary_usd,overall,,,,2.0,232400.0
avg_salary_by_category,Data Analytics,,,,0.0,
avg_salary_by_category,Data Engineering,,,,1.0,224000.0
avg_salary_by_category,Data Science,,,,0.0,
avg_salary_by_category,Other,,,,1.0,240800.0
avg_salary_by_experience,0-1,,,,0.0,
avg_salary_by_experience,1-3,,,,0.0,
avg_salary_by_experience,3-5,,,,0.0,
avg_salary_by_experience,5-8,,,,0.0,
avg_salary_by_experience,8+,,,,0.0,
avg_salary_by_experience,Not mentioned,,,,2.0,232400.0
top_skills,docker,,,8.9,4.0,
top_skills,excel,,,8.9,4.0,
top_skills,sql,,,6.7,3.0,
top_skills,kubernetes,,,6.7,3.0,
top_skills,python,,,6.7,3.0,
top_skills,postgresql,,,4.4,2.0,
top_skills,data science,,,4.4,2.0,
top_skills,aws,,,4.4,2.0,
top_skills,mysql,,,4.4,2.0,
top_skills,redis,,,4.4,2.0,
top_companies,BRÃœGGEN ENGINEERING GmbH,,,,3.0,
top_companies,Flix,,,,3.0,
top_companies,Hoffmann.Recruiting & More,,,,2.0,
top_companies,Start To Finish Consulting GmbH,,,,2.0,
top_companies,HOPn,,,,1.0,
top_companies,Agentur Philipp GmbH,,,,1.0,
top_companies,Powershop4U GmbH,,,,1.0,
top_companies,Tante-E GmbH / Merchant Inspiration,,,,1.0,
top_companies,CES Consulting Engineers Salzgitter GmbH,,,,1.0,
top_companies,CEF AI,,,,1.0,
